,property_type,sector,price,bedRoom,bathroom,balcony,floortype,agePossession,built_up_area,store room,study room,servant room,pooja room,others,furnishing_type,luxury_score
0,flat,sector 70,5.0,6.0,7.0,3+,low floor,Relatively New,5333.0,0.0,1.0,1.0,0.0,0.0,0.0,medium
1,flat,sector 37d,0.6,2.0,2.0,3,med floor,New Property,625.0,0.0,0.0,0.0,0.0,0.0,0.0,low
2,flat,sector 79,1.9,3.0,4.0,2,high floor,New Property,2389.0,0.0,0.0,1.0,0.0,0.0,0.0,low
3,flat,sector 59,6.75,4.0,4.0,2,med floor,New Property,2567.0,0.0,0.0,1.0,0.0,0.0,0.0,low
4,flat,sector 49,1.98,3.0,4.0,3,med floor,Moderately Old,1750.75,0.0,0.0,1.0,0.0,0.0,1.0,medium
5,flat,sector 112,3.0,3.0,3.0,2,low floor,Relatively New,2600.0,0.0,0.0,0.0,0.0,1.0,1.0,low
6,flat,sector 66,3.9,3.0,4.0,3,low floor,Relatively New,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,low
7,flat,sector 83,1.42,3.0,3.0,2,low floor,Relatively New,1972.0,0.0,0.0,0.0,0.0,0.0,1.0,medium
8,flat,sohna road,0.22,1.0,1.0,1,med floor,Relatively New,477.809521,0.0,0.0,0.0,0.0,0.0,1.0,low
9,flat,sector 61,1.47,2.0,2.0,2,low floor,Under Construction,1333.0,0.0,1.0,0.0,0.0,0.0,0.0,medium
10,flat,sector 2,1.26,2.0,2.0,3,med floor,Moderately Old,1416.0,0.0,1.0,0.0,0.0,0.0,0.0,medium
11,flat,sector 89,1.0,2.0,2.0,3,med floor,New Property,1233.0,0.0,1.0,0.0,0.0,1.0,0.0,medium
12,flat,sector 85,1.2,2.0,2.0,3,high floor,Relatively New,1484.0,0.0,0.0,0.0,0.0,0.0,1.0,high
13,flat,sector 65,3.5,3.0,3.0,3,high floor,New Property,2282.0,0.0,1.0,1.0,1.0,0.0,1.0,high
14,flat,sector 85,1.73,4.0,5.0,3+,med floor,Relatively New,2017.0,0.0,0.0,1.0,0.0,0.0,0.0,low
15,flat,sector 108,0.93,2.0,3.0,3,med floor,Relatively New,1161.0,0.0,0.0,0.0,0.0,0.0,0.0,medium
16,flat,sector 67,4.75,4.0,4.0,3+,low floor,Relatively New,3200.0,1.0,1.0,1.0,1.0,0.0,1.0,high
17,flat,sector 70a,1.6,3.0,3.0,3,low floor,New Property,1750.0,0.0,0.0,1.0,0.0,1.0,0.0,medium
18,flat,sector 85,1.09,2.0,2.0,3,med floor,Relatively New,1638.0,1.0,0.0,0.0,0.0,0.0,0.0,high
